model,ESFP,flexibility_signal,delta_AR,PSI_mean,PSI_scaled,delta_SCD,CPC_kappa,CPC_filtered_n
deepseek-ai/deepseek-v3.2,0.80536,0.7567,0.975,0.2095,1.0,0.5234,0.2572,103
anthropic/claude-sonnet-4-6@default,0.78175,0.72236,0.9821,0.1703,0.8547,0.5391,0.3289,104
google/gemma-3-27b,0.78148,0.73271,1.0,0.1704,0.855,0.5524,0.2663,104
zai/glm-5,0.68955,0.64091,0.9103,0.1744,0.8752,0.3926,0.3036,102
google/gemini-3.1-flash-lite-preview,0.61911,0.55123,0.5714,0.1632,0.8192,0.3824,0.4926,92
anthropic/claude-haiku-4-5@20251001,0.6116,0.56875,0.6364,0.172,0.8632,0.365,0.3014,101
qwen/qwen3-next-80b-a3b-thinking,0.50181,0.47137,0.4375,0.1803,0.9047,0.2249,0.2583,95
google/gemini-3.1-pro-preview,0.39879,0.37778,0.4706,0.1583,0.7945,0.0906,0.2225,93
